appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
755500,ONE PIECE World Seeker,2019-03-14,1,"GANBARION Co., Ltd.",BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Action;Adventure;Anime,49,234,171,0,0,0-20000,39.99
798510,SUPER DRAGON BALL HEROES WORLD MISSION,2019-04-04,1,"Dimps Corporation;SAFARI GAMES Co., Ltd.",BANDAI NAMCO Entertainment,windows,0,Single-player;Online Multi-Player;Full controller support;Steam Cloud,Strategy,Strategy;Card Game;Anime,0,301,52,0,0,20000-50000,39.99
816020,JUMP FORCE,2019-02-14,1,"Spike Chunsoft Co., Ltd.",BANDAI NAMCO Entertainment,windows,0,Single-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support,Action,Fighting;Anime;Action,50,1951,1530,338,369,50000-100000,49.99
840720,Sword Art Online: Lost Song,2018-11-12,1,Artdink,BANDAI NAMCO Entertainment,windows,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Partial Controller Support;Steam Cloud,RPG,RPG;Anime;JRPG,43,208,60,0,0,0-20000,15.99
848350,Katamari Damacy REROLL,2018-12-06,1,MONKEYCRAFT Co. Ltd.,BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual,Casual;Action;Great Soundtrack,21,559,58,105,105,20000-50000,15.99
899440,GOD EATER 3,2019-02-07,1,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Action;Anime;Character Customization,32,1882,562,1373,1373,50000-100000,39.99
291410,Duelyst,2016-08-23,1,Counterplay Games Inc.,BANDAI NAMCO Entertainment America,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to Play;Indie;Strategy,Free to Play;Card Game;Strategy,10,3469,794,14620,28847,500000-1000000,0
735580,11-11 Memories Retold,2018-11-08,1,Aardman Animations;Digixart,BANDAI NAMCO Entertainment Europe,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual,Casual;Adventure;World War I,50,133,9,0,0,0-20000,19.99
236430,DARK SOULS™ II,2014-04-25,1,"FromSoftware, Inc","BANDAI NAMCO Entertainment;FromSoftware, Inc",windows,16,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support,Action;RPG,RPG;Dark Fantasy;Difficult,38,30008,3799,2377,3041,1000000-2000000,29.99
335300,DARK SOULS™ II: Scholar of the First Sin,2015-04-01,1,"FromSoftware, Inc","BANDAI NAMCO Entertainment;FromSoftware, Inc",windows,16,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support,Action;RPG,RPG;Dark Fantasy;Difficult,38,25959,4289,3189,2442,1000000-2000000,29.99
316240,Professional Lumberjack 2015,2015-03-05,1,PlayWay S.A.,BANDAI NAMCO Entertainment;United Independent Entertainment GmbH,windows,0,Single-player;Steam Trading Cards;Partial Controller Support;Steam Cloud,Simulation,Simulation;Singleplayer,0,20,81,0,0,20000-50000,14.99
7340,Azada,2010-04-21,1,Big Fish Games,Big Fish Games,windows,0,Single-player,Casual;Indie,Casual;Indie;Puzzle,0,8,4,0,0,0-20000,6.99
50910,Professor Fizzwizzle and the Molten Mystery,2010-04-21,1,Big Fish Games,Big Fish Games,windows;mac,0,Single-player,Casual,Casual;Puzzle,0,12,0,0,0,0-20000,4.99
50920,Hidden Expedition: Amazon,2010-04-21,1,Big Fish Games,Big Fish Games,windows,0,Single-player,Casual;Indie,Casual;Indie;Hidden Object,0,8,4,0,0,0-20000,6.99
50930,Hidden Expedition: Everest,2010-04-21,1,Big Fish Games,Big Fish Games,windows,0,Single-player,Casual,Casual;Hidden Object,0,2,3,0,0,0-20000,6.99
50940,Hidden Expedition: Titanic,2010-04-21,1,Big Fish Games,Big Fish Games,windows,0,Single-player;Multi-player,Casual,Casual;Hidden Object,0,5,1,0,0,0-20000,6.99
50960,Mystery Case Files: Huntsville™,2010-04-21,1,Big Fish Games,Big Fish Games,windows,0,Single-player,Casual,Casual;Hidden Object,0,17,3,0,0,0-20000,6.99
50970,Mystery Case Files: Madame Fate®,2007-12-14,1,Big Fish Games,Big Fish Games,windows,0,Single-player,Casual,Casual;Hidden Object,0,15,6,0,0,0-20000,4.99
50980,Mystery Case Files: Prime Suspects™,2010-04-21,1,Big Fish Games,Big Fish Games,windows,0,Single-player,Casual,Casual;Hidden Object,0,9,3,0,0,0-20000,4.99
50990,Mystery Case Files: Ravenhearst®,2010-04-21,1,Big Fish Games,Big Fish Games,windows,0,Single-player,Casual,Casual;Hidden Object,0,24,1,0,0,0-20000,6.99
51000,Mystery Case Files: Return to Ravenhearst™,2010-04-21,1,Big Fish Games,Big Fish Games,windows,0,Single-player,Casual,Casual;Hidden Object;Puzzle,0,16,8,0,0,0-20000,6.99
51010,My Tribe,2010-04-21,1,Big Fish Games,Big Fish Games,windows;mac,0,Single-player;Steam Trading Cards,Casual;Simulation,Casual;Simulation,0,33,15,0,0,0-20000,6.99
51020,Unwell Mel,2010-04-21,1,Big Fish Games,Big Fish Games,windows;mac,0,Single-player,Casual,Casual;Match 3,0,5,1,0,0,0-20000,4.99
51030,Atlantis Sky Patrol,2010-04-21,1,Big Fish Games,Big Fish Games,windows;mac,0,Single-player,Casual;Indie,Casual;Indie;Match 3,0,6,1,0,0,0-20000,6.99
51060,Drawn®: The Painted Tower,2011-01-19,1,Big Fish Studios,Big Fish Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual,Adventure;Casual;Point & Click,30,87,13,0,0,0-20000,6.99
438560,Mystery Case Files®: Escape from Ravenhearst™,2016-02-03,1,Big Fish Studios,Big Fish Games,windows,0,Single-player;Steam Trading Cards,Adventure;Casual,Adventure;Casual;Hidden Object,0,7,3,0,0,0-20000,6.99
450150,Campgrounds: The Endorus Expedition Collector's Edition,2016-03-03,1,Jumb-O-Fun,Big Fish Games,windows,0,Single-player,Casual;Simulation;Strategy,Casual;Simulation;Strategy,0,1,0,0,0,0-20000,6.99
451140,Drawn®: Dark Flight™ Collector's Edition,2016-03-08,1,Big Fish Studios,Big Fish Games,windows,0,Single-player,Casual;Simulation;Strategy,Casual;Strategy;Simulation,0,12,6,0,0,0-20000,6.99
453390,Dark Parables: The Little Mermaid and the Purple Tide Collector's Edition,2016-03-21,1,Blue Tea Games;Eipix Entertainment,Big Fish Games,windows,0,Single-player;Steam Trading Cards,Adventure;Casual,Adventure;Casual;Hidden Object,0,21,1,0,0,0-20000,6.99
455080,Awakening: The Redleaf Forest Collector's Edition,2016-03-28,1,Boomzap Entertainment,Big Fish Games,windows,0,Single-player;Steam Trading Cards,Adventure;Casual,Adventure;Casual;Hidden Object,0,4,1,0,0,0-20000,6.99
465860,Awakening: The Sunhook Spire Collector's Edition,2016-06-08,1,Boomzap Entertainment,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,2,1,0,0,0-20000,6.99
465890,Dark Parables: The Final Cinderella Collector's Edition,2016-06-17,1,Blue Tea Games,Big Fish Games,windows,0,Single-player,Adventure;Casual,Casual;Adventure;Hidden Object,0,6,0,0,0,0-20000,6.99
465900,Dark Tales: Edgar Allan Poe's The Gold Bug Collector's Edition,2016-06-09,1,ERS G Studios,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,6,1,0,0,0-20000,6.99
465920,Echoes of the Past: The Revenge of the Witch Collector's Edition,2016-05-31,1,Orneon Limited,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,2,1,0,0,0-20000,4.99
465960,Farm Tribe,2016-05-27,1,CrioGames,Big Fish Games,windows,0,Single-player,Casual,Casual,0,3,2,0,0,0-20000,4.99
465970,Grave Mania: Undead Fever,2016-04-28,1,Anino Games,Big Fish Games,windows,0,Single-player;Steam Trading Cards,Casual;Strategy,Strategy;Casual,0,5,0,0,0,0-20000,4.99
465990,Hidden Expedition: The Crown of Solomon Collector's Edition,2016-05-20,1,Eipix Entertainment,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,5,2,0,0,0-20000,6.99
466000,Maze: Subject 360 Collector's Edition,2016-04-28,1,Mad Head Games,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,16,0,0,0,0-20000,6.99
466010,Nevertales: The Beauty Within Collector's Edition,2016-05-17,1,Mad Head Games,Big Fish Games,windows,0,Single-player,Casual,Casual;Adventure;Point & Click,0,8,2,0,0,0-20000,6.99
466020,Off the Record: The Linden Shades Collector's Edition,2016-05-24,1,Eipix Entertainment,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,7,0,0,0,0-20000,6.99
466030,Otherworld: Spring of Shadows Collector's Edition,2016-06-03,1,Boomzap Entertainment,Big Fish Games,windows,0,Single-player;Steam Trading Cards,Adventure;Casual,Adventure;Casual;Hidden Object,0,3,0,0,0,0-20000,6.99
466040,Pet Store Panic,2016-05-17,1,"Ludometrics, Ltd.",Big Fish Games,windows,0,Single-player,Casual;Strategy,Casual;Strategy,0,1,1,0,0,0-20000,4.99
466050,Redemption Cemetery: Salvation of the Lost Collector's Edition,2016-07-12,1,ERS G Studios,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,5,0,0,0,0-20000,6.99
466060,Shiver: Vanishing Hitchhiker Collector's Edition,2016-06-11,1,Artogon Corp.,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,11,0,0,0,0-20000,6.99
466070,Spa Mania,2016-06-15,1,Blue Lizard Games Inc.,Big Fish Games,windows,0,Single-player,Casual;Strategy,Strategy;Casual,0,2,0,0,0,0-20000,4.99
466080,Surface: The Pantheon Collector's Edition,2016-07-25,1,Elephant Games,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,1,1,0,0,0-20000,6.99
466100,Witches' Legacy: The Ties That Bind Collector's Edition,2016-06-20,1,EleFun Games,Big Fish Games,windows,0,Single-player,Adventure;Casual,Casual;Adventure;Hidden Object,0,4,1,0,0,0-20000,6.99
471160,Moonshot Galaxy™,2016-08-24,1,Liftoff Labs,Big Fish Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Sports,Sports;Indie;Casual,23,18,5,0,0,0-20000,3.99
485290,Vermillion Watch: Moorgate Accord Collector's Edition,2016-06-23,1,Eipix Entertainment,Big Fish Games,windows,0,Single-player;Steam Trading Cards,Adventure;Casual,Casual;Adventure;Hidden Object,0,6,0,0,0,0-20000,10.59
496030,Dark Parables: The Swan Princess and The Dire Tree Collector's Edition,2016-07-06,1,Eipix Entertainment,Big Fish Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual,Adventure;Casual;Hidden Object,12,7,1,0,0,0-20000,7.19
499100,Dark Parables: The Exiled Prince Collector's Edition,2016-08-09,1,Blue Tea Games,Big Fish Games,windows,0,Single-player;Steam Trading Cards,Adventure;Casual,Adventure;Casual;Hidden Object,0,21,4,0,0,0-20000,6.99
499110,Dark Parables: Rise of the Snow Queen Collector's Edition,2016-08-09,1,Blue Tea Games,Big Fish Games,windows,0,Single-player;Steam Trading Cards,Adventure;Casual,Adventure;Casual;Hidden Object,0,10,0,0,0,0-20000,6.99
